Precinct,Brent Andersen,Carla Spalding,Dale V.C. Holness,Debbie Wasserman Schultz,Elijah Manley,"Lateresa ""LA"" Jones","Luther ""UncleLuke"" Campbell",Rod Joseph,Sheila Cherfilus-McCormick
A004,37,8,64,122,33,8,40,20,49
A005,22,6,117,176,46,5,64,10,111
A006,3,2,41,44,31,3,34,8,34
A007,22,1,48,91,51,0,26,13,81
A008,3,4,75,84,21,2,71,2,62
A009,17,4,6,27,8,0,5,5,8
A010,14,4,7,22,10,0,7,5,8
A012,50,15,32,141,36,9,22,24,12
A013,75,31,63,134,68,10,32,32,36
C010,64,16,59,143,32,4,31,32,61
C011,9,3,100,170,41,3,105,5,88
C012,0,1,18,7,11,0,11,1,15
C013,85,34,17,293,24,4,0,27,4
C014,7,2,131,172,35,1,150,3,103
C015,9,1,12,22,10,0,6,4,11
C016,2,4,10,24,15,0,3,1,6
C017,6,2,78,89,30,1,58,1,57
C018,77,12,42,171,55,2,12,20,16
C019,96,19,48,269,60,6,15,24,17
C020,233,42,89,659,161,15,45,79,38
C021,18,7,159,150,56,6,108,7,98
C022,0,0,0,1,0,0,1,0,0
D001,76,31,49,184,76,7,29,29,26
D002,136,48,39,413,136,11,21,39,18
D003,39,7,65,215,128,5,27,15,37
D004,126,30,59,250,132,10,24,30,27
D005,36,18,23,104,55,4,14,12,27
D006,21,4,24,152,58,3,13,6,18
D007,94,16,58,285,120,9,31,22,27
D008,46,18,180,397,171,8,92,24,52
D009,5,6,61,56,25,1,28,1,18
E005,63,20,61,178,74,12,26,16,26
E006,105,30,112,225,128,12,34,43,37
E007,148,49,106,353,99,16,46,46,26
E008,150,68,116,374,160,13,38,48,31
E009,120,50,73,297,95,14,29,37,16
E010,116,34,69,244,91,16,25,47,26
E015,45,17,23,49,19,6,8,4,15
E016,154,77,123,364,94,17,35,37,26
F003,101,39,114,374,107,15,36,36,45
F004,234,68,106,869,79,18,23,86,36
F005,73,13,43,101,40,8,18,15,15
F007,87,30,118,274,96,13,46,26,34
G001,47,8,95,103,40,3,20,4,17
G002,63,4,65,155,51,5,29,15,25
G003,110,36,139,236,92,15,45,33,61
G004,26,15,71,110,38,7,12,9,16
G005,49,14,145,169,55,5,31,12,49
G006,38,10,99,96,44,4,38,8,46
G007,47,18,39,89,15,6,15,14,13
G008,160,48,300,530,142,14,44,74,95
G009,71,30,68,145,47,9,31,22,35
G010,118,36,181,332,104,18,46,37,42
H001,0,0,2,3,6,0,0,0,0
H002,30,10,154,149,62,5,45,11,78
H003,33,6,258,233,67,5,74,10,122
H004,30,21,223,181,67,2,45,7,111
H005,6,4,116,95,47,4,34,1,34
H006,1,2,50,44,18,1,14,1,19
H007,45,14,136,174,65,4,32,12,64
J001,25,8,63,80,31,5,21,7,18
J002,51,14,153,220,35,11,22,22,31
J003,30,8,98,144,41,7,19,15,37
J004,49,18,227,260,81,8,44,15,64
J005,24,6,45,83,16,5,11,1,25
J006,17,9,70,99,52,3,23,16,32
J007,100,37,175,287,78,17,35,33,74
J008,99,35,162,347,105,13,63,30,59
J009,66,34,182,282,69,6,26,22,76
J010,77,24,168,298,122,12,43,28,55
J011,172,65,258,880,117,18,49,82,81
J012,152,67,201,722,98,13,44,58,70
J013,57,21,178,246,67,6,55,22,60
K001,4,0,85,82,21,0,28,1,26
K002,4,6,194,145,58,3,61,4,74
K003,6,4,324,255,65,2,92,14,102
K004,5,4,176,149,26,4,31,5,51
K005,20,10,201,163,47,1,49,10,116
K006,16,4,355,347,69,0,89,4,166
